id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
2,51,entrepreneur,married,primary,no,1443,no,no,cellular,18,feb,172,10,-1,0,unknown,0.2745273278552597,-0.23712303742218394,-0.08612756599893885,-0.07908416362162944,-0.25064726892935124,0.005618652140500771,0.20394950184018917,0.3765931446003574,0.059195836060743225,0.21047935235163776,0.19683270883663725,1.7069104739307173,0.03733451950307268,-0.4410412435253706,-0.02156837849103563,-0.006879136472733499,-0.050529857816051196
9,31,admin.,single,secondary,no,0,yes,no,cellular,7,may,895,2,295,2,failure,0.37934989511294115,0.03512146081869412,0.2642412686967934,0.10227978933107168,0.02316156169728025,-0.012431455392487117,-0.2739021596960457,-0.1293376490551909,0.02194611530049374,0.3447638182849966,-0.04427150225938533,-0.0355309494738824,3.868171069214771,-0.10209802905853815,0.4162938739205048,-0.007343799527462916,-0.053790242699751044
16,71,technician,married,tertiary,no,383,no,no,cellular,27,apr,388,3,-1,0,unknown,0.17004696371088454,0.4867153834907849,-0.08181259416010726,-0.02973110663507207,0.06219038320696662,0.0008037128585791112,0.050797893088926016,0.352876483224809,0.06069351891765562,0.30836410538543596,0.33276094827464264,1.0094460598565096,1.3514149234825745,-0.08494465102980522,0.01688499583424688,-0.010286185941606182,-0.059696460610243265
18,66,retired,married,secondary,no,154,no,no,cellular,15,jul,268,5,181,2,failure,0.44042117471261005,0.8201911362427428,0.11588380271964939,-0.0456189790836949,0.06945165403415844,0.006216166299497206,0.04548891804490468,0.37771513505447946,0.08443353831337222,0.4107396988632973,0.1072471632503182,0.005512847088201755,0.6783857402470816,-0.20727115678047817,0.4139958523659869,0.05377133328837787,-0.08649996076172216
20,29,admin.,single,tertiary,no,89,yes,no,cellular,22,jul,120,1,-1,0,unknown,0.2695613031022846,0.1748766217794073,0.150581224237426,0.14389398060754902,0.043472114057089346,0.0026618545366859604,-0.0037465699554752757,-0.23501194306167025,0.07023981260518226,0.29834620092299274,0.07734724251952475,-0.4420622398457518,-1.0618189425812306,0.30808455977262206,-0.09541778377428482,-0.013046479549051077,-0.07570266348378737
23,42,management,married,tertiary,no,4,yes,no,cellular,17,jul,795,1,-1,0,unknown,0.18736722679962137,0.005069186763883484,0.03497754494849768,-0.09698405514682736,0.04091062485768098,-0.013562202086537972,-0.3142700260331415,-0.09440366781992936,0.017076535782360843,0.23994737933353466,-0.0954964765659084,-0.31040880188381104,3.261870299614674,0.16075090311762755,-0.0726856857140298,-0.008723491364608836,-0.06514103981680663
27,43,management,single,tertiary,no,0,no,no,cellular,11,aug,155,2,-1,0,unknown,0.2837500112409505,-0.01686877451884764,0.16733530458880327,0.1814236487628427,0.0971840654397606,0.0039011115252103757,-0.42714627341367817,0.08796072188788838,0.04558742507078332,0.024263739508690287,0.21475116096943597,0.16754521226731972,-0.5163159566723363,-0.23194896052965103,-0.09770631343499708,-0.011904237379301151,-0.07743308011764953
29,31,blue-collar,married,primary,no,-81,yes,no,cellular,22,jul,261,1,-1,0,unknown,0.10786952177729273,-0.005955327669755023,-0.1431883381838479,-0.06620658360620732,-0.22451444710359617,0.002483406265420198,-0.7486987215635091,-0.1847005875573271,0.04445288038702577,0.33426547082759855,0.043697757824941945,-0.35647311767476864,0.3073720247291925,0.17961953212468784,-0.07017027207925804,-0.01205582391109293,-0.09620539845134064
30,36,technician,single,secondary,no,524,yes,no,cellular,8,apr,95,1,-1,0,unknown,0.18830627737150496,0.05248699058697019,-0.15822880270794204,0.08122463298818347,0.03896745444180224,0.002663199560574511,0.10855794733025215,-0.2904179213238683,0.05749659485007607,0.10547850328731939,0.08171771871184859,1.1801874462703628,-1.058376964183751,0.2111801994341874,-0.016889614512485874,-0.013181162043331751,-0.03335841909255497
35,29,blue-collar,married,secondary,no,-493,yes,no,cellular,18,may,536,2,334,4,failure,0.42752157601252044,0.09355982087486998,-0.2122945351410232,-0.1331319882937628,0.04006349214995573,-0.012386524473675336,-0.5080076771833563,-0.19814399539610453,0.01743281519833748,0.40007280108782406,0.05818811684768069,-0.13477308550894693,2.7917227044340547,-0.12547145161542989,0.06388557057361277,0.06057365354693202,-0.060129224359312575
38,30,technician,single,secondary,no,601,no,no,cellular,27,feb,154,1,-1,0,unknown,0.14687925656083586,0.11010540155009903,-0.18389143106860698,0.07557620914236116,0.03059671439355723,0.00381488274645363,0.22077449612529806,0.3264827909176218,0.06609122072541437,0.20916217757678293,0.4758098854026811,1.847570545004252,0.07340727180544662,0.2882038894658371,-0.03191135417400152,-0.013024734778836169,-0.04279632024646078
41,31,management,single,secondary,yes,0,no,no,cellular,18,nov,129,2,-1,0,unknown,0.2003927542758347,0.020798371739750913,0.08905018116526149,0.1482569297354781,0.04816733664062286,-0.1895243418114687,-0.3794865493757584,0.18008508312461788,0.0487235470377022,0.16678429942490958,-0.23932367922842582,0.00028453723171073276,-1.0415644933735828,-0.12011385822846707,-0.05009178567249754,-0.005982541950925249,-0.07386301467890513
43,33,technician,married,tertiary,no,1126,yes,no,unknown,6,sep,11,1,490,5,other,1.6690799082850079,0.04381748438688555,-0.0638358861101665,-0.050700083743160825,0.08279471642924076,0.0029680798480092936,0.1292034627817963,-0.04953795834874006,0.013661421690267298,-0.02922627747394132,0.043083396097550734,0.8219854018655673,-2.809716904731532,0.1964753704978912,1.023930679967424,0.1221772288637574,0.08891583221970811
